StudentID,Name,Electronics,Programming,Database,Data Science,Math,Eng
S00001,Student_1,83,96,67,64,82,93
S00002,Student_2,50,61,76,95,48,85
S00003,Student_3,89,87,57,76,47,70
S00004,Student_4,54,77,87,70,64,85
S00005,Student_5,83,47,69,42,92,48
S00006,Student_6,93,78,56,62,54,62
S00007,Student_7,86,68,80,98,91,71
S00008,Student_8,56,86,89,91,80,61
S00009,Student_9,90,48,48,75,91,68
S00010,Student_10,72,91,52,55,74,89
S00011,Student_11,82,66,84,75,68,56
S00012,Student_12,46,74,42,47,94,60
S00013,Student_13,53,67,94,46,87,71
S00014,Student_14,49,56,52,62,98,85
S00015,Student_15,55,66,97,50,49,68
S00016,Student_16,95,41,66,47,59,76
S00017,Student_17,67,41,92,59,65,88
S00018,Student_18,45,89,79,59,76,50
S00019,Student_19,62,92,86,98,84,87
S00020,Student_20,63,59,84,50,65,75
S00021,Student_21,80,60,89,42,50,54
S00022,Student_22,95,91,41,87,51,79
S00023,Student_23,79,46,89,43,82,45
S00024,Student_24,46,55,99,74,83,56
S00025,Student_25,80,73,99,85,75,75
S00026,Student_26,70,92,50,83,42,80
S00027,Student_27,65,40,74,90,70,42
S00028,Student_28,82,62,88,40,91,43
S00029,Student_29,64,78,93,63,60,63
S00030,Student_30,88,66,87,53,40,44
S00031,Student_31,59,96,75,41,46,71
S00032,Student_32,66,53,44,81,89,41
S00033,Student_33,88,70,48,97,82,63
S00034,Student_34,71,69,99,96,85,89
S00035,Student_35,52,54,88,54,82,68
S00036,Student_36,69,70,67,65,67,91
S00037,Student_37,73,96,96,81,65,91
S00038,Student_38,87,75,40,68,77,80
S00039,Student_39,84,40,57,40,58,62
S00040,Student_40,84,79,78,68,78,40
S00041,Student_41,61,55,90,55,90,65
S00042,Student_42,50,43,56,46,78,68
S00043,Student_43,76,93,93,95,84,57
S00044,Student_44,60,78,78,56,99,94
S00045,Student_45,84,43,52,62,96,40
S00046,Student_46,82,78,41,66,85,64
S00047,Student_47,85,48,90,45,58,89
S00048,Student_48,40,48,50,94,94,64
S00049,Student_49,87,49,99,82,60,50
S00050,Student_50,41,55,84,84,63,91
S00051,Student_51,70,92,63,93,64,58
S00052,Student_52,67,65,46,59,65,62
S00053,Student_53,41,62,91,66,51,45
S00054,Student_54,62,50,91,54,47,87
S00055,Student_55,81,79,60,44,82,52
S00056,Student_56,53,81,66,64,54,67
S00057,Student_57,47,53,81,71,49,95
S00058,Student_58,62,80,92,75,60,44
S00059,Student_59,41,64,89,46,84,94
S00060,Student_60,62,47,42,77,73,83
S00061,Student_61,81,99,73,41,43,75
S00062,Student_62,75,72,95,48,77,73
S00063,Student_63,47,48,40,57,63,54
S00064,Student_64,84,66,57,81,56,79
S00065,Student_65,56,63,97,70,51,95
S00066,Student_66,49,41,88,64,40,76
S00067,Student_67,88,55,59,90,44,94
S00068,Student_68,77,89,49,74,66,92
S00069,Student_69,56,65,84,94,88,77
S00070,Student_70,44,74,92,96,46,83
S00071,Student_71,87,76,73,46,69,63
S00072,Student_72,64,98,43,86,85,67
S00073,Student_73,41,63,80,89,45,97
S00074,Student_74,47,86,41,48,73,42
S00075,Student_75,48,63,56,94,55,83
S00076,Student_76,47,79,57,58,41,97
S00077,Student_77,77,57,91,57,85,40
S00078,Student_78,97,53,50,84,40,94
S00079,Student_79,77,81,93,76,61,65
S00080,Student_80,78,84,44,54,41,87
S00081,Student_81,62,40,85,91,59,66
S00082,Student_82,94,96,50,54,55,51
S00083,Student_83,68,76,88,41,78,65
S00084,Student_84,77,44,78,57,72,64
